native-country: Iran | precision: 0.2500 | recall: 0.3333 | fbeta: 0.2857
native-country: Ireland | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
native-country: Italy | precision: 1.0000 | recall: 0.6250 | fbeta: 0.7692
native-country: Jamaica | precision: 0.0000 | recall: 1.0000 | fbeta: 0.0000
native-country: Japan | precision: 0.8333 | recall: 0.7143 | fbeta: 0.7692
native-country: Laos | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
native-country: Mexico | precision: 0.5000 | recall: 0.3333 | fbeta: 0.4000
native-country: Nicaragua | precision: 1.0000 | recall: 0.0000 | fbeta: 0.0000
native-country: Outlying-US(Guam-USVI-etc) | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
native-country: Peru | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
native-country: Philippines | precision: 0.6667 | recall: 0.6667 | fbeta: 0.6667
native-country: Poland | precision: 0.3333 | recall: 1.0000 | fbeta: 0.5000
native-country: Portugal | precision: 1.0000 | recall: 0.0000 | fbeta: 0.0000
native-country: Puerto-Rico | precision: 0.6000 | recall: 0.7500 | fbeta: 0.6667
native-country: Scotland | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
native-country: South | precision: 1.0000 | recall: 0.0000 | fbeta: 0.0000
native-country: Taiwan | precision: 0.6667 | recall: 0.6667 | fbeta: 0.6667
native-country: Thailand | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
native-country: Trinadad&Tobago | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
native-country: United-States | precision: 0.7372 | recall: 0.6380 | fbeta: 0.6840
native-country: Vietnam | precision: 1.0000 | recall: 0.0000 | fbeta: 0.0000
native-country: Yugoslavia | precision: 1.0000 | recall: 0.5000 | fbeta: 0.6667
